Rank	Trainer	Tournament Length
1	Salty - Toon Link	343
2	ditto - Rosalina & Luma	343
3	IGuano - Simon	343
4	IGuano - Mario	343
5	soysauce - Greninja	343
6	gold_dxj - Inkling	343
7	ditto - Diddy Kong	343
8	Amalgamate - Bayonetta	343
9	Salty - Mr. Game & Watch	343
10	fammy - Mario	343
11	Ikeba - Ken	343
12	NetEasy - Young Link	343
13	Planetar - Toon Link	343
14	IGuano - Young Link	343
15	Amalgamate - Pikachu	343
16	gold_dxj - Zero Suit Samus	343
17	joah - Marth	343
18	HalfMario - Pichu	343
19	Eon_II - R.O.B.	343
20	Crunchy - Fox	343
21	NetEasy - Ken	343
22	Nightmare - Inkling	343
23	Carbon Show - Mr. Game & Watch	343
24	soysauce - Diddy Kong	343
25	RAPJM - Lucina	343
26	Planetar - Young Link	343
27	SandSSF2 - Toon Link	343
28	Carbon Show - Pikachu	343
29	EthanZombieK - Sheik	343
30	MTJgator - Toon Link	343
31	RAPJM - Sonic	343
32	SandSSF2 - Young Link	343
33	JA9K - Mario	343
34	RAPJM - Richter	343
35	Amalgamate - Pichu	343
36	soysauce - Toon Link	343
37	Ikeba - Mario	343
38	SandSSF2 - Diddy Kong	343
39	fammy - Simon	343
40	IGuano - Pichu	343
41	razorforce21 - Jigglypuff	343
42	joah - Sheik	343
43	NetEasy - Diddy Kong	343
44	Crunchy - Inkling	343
45	Nightmare - Pikachu	343
46	Inacraft - Pichu	343
47	Nightmare - Mr. Game & Watch	343
48	Planetar - Lucina	343
49	Amalgamate - Inkling	343
50	Crunchy - Mario	343
51	jozz - Simon	343
52	Scuttler - R.O.B.	343
53	SandSSF2 - Zero Suit Samus	343
54	joah - Sonic	343
55	Mikayla - Diddy Kong	343
56	Dabuffalo - Toon Link	343
57	ditto - Sonic	343
58	Nightmare - Rosalina & Luma	343
59	NetEasy - Rosalina & Luma	343
60	Bubs - Mr. Game & Watch	343
61	gold_dxj - Marth	343
62	Cheese - Pichu	343
63	Noobinator - Fox	343
64	Cheese - Diddy Kong	343
65	Bubs - Inkling	343
66	JA9K - Mr. Game & Watch	343
67	Cheese - Ken	343
68	Eon_II - Sheik	343
69	Dabuffalo - Greninja	343
70	EthanZombieK - Fox	343
71	Eon_II - Ken	343
72	HalfMario - Greninja	343
73	Mikayla - Rosalina & Luma	343
74	HalfMario - Ken	343
75	joah - Simon	343
76	soysauce - Jigglypuff	343
77	Tau Heximus - Ken	343
78	Dabuffalo - Mr. Game & Watch	343
79	JA9K - Marth	343
80	Planetar - Jigglypuff	343
81	EthanZombieK - Lucina	343
82	ditto - Richter	343
83	MLL456 - Mario	343
84	Bubs - R.O.B.	343
85	MTJgator - Sonic	343
86	gold_dxj - Diddy Kong	343
87	Mikayla - Marth	343
88	MLL456 - Sonic	343
89	Bubs - Pikachu	343
90	Scuttler - Bayonetta	343
91	Cheese - R.O.B.	343
92	MTJgator - Jigglypuff	343
93	Eon_II - Fox	343
94	Dabuffalo - Zero Suit Samus	343
95	nottynottnot - R.O.B.	343
96	Sophia - Lucina	343
97	MassiveMan - Mr. Game & Watch	343
98	MTJgator - Pikachu	343
99	Tau Heximus - Fox	343
