Rank	Trainer	Tournament Length	Host
1	Azend - Hero	2270	Azend_1
2	Staples - Pyra & Mythra	2270	Azend_1
3	fammy - Steve	2270	Azend_1
4	Carbon Show - Cloud	2270	Azend_1
5	Nobody - Mii Swordfighter	2270	Azend_1
6	Staples - Zelda	2270	Azend_1
7	Skyfletcher - Zelda	2270	Azend_1
8	BETA DUDE - Shulk	2270	Azend_1
9	Gamer John - Mii Swordfighter	2270	Azend_1
10	Carbon Show - Luigi	2270	Azend_1
11	Carbon Show - Mega Man	2270	Azend_1
12	Skyfletcher - R.O.B.	2270	Azend_1
13	Azend - Wolf	2270	Azend_1
14	BETA DUDE - Robin	2270	Azend_1
15	Skyfletcher - Falco	2270	Azend_1
16	Gamer John - Dark Samus	2270	Azend_1
33	IGuano - Meta Knight	2270	Azend_1
33	Eon_II - Banjo & Kazooie	2270	Azend_1
33	jozz - Hero	2270	Azend_1
33	jozz - Steve	2270	Azend_1
33	ditto - Mega Man	2270	Azend_1
33	IGuano - Robin	2270	Azend_1
33	Royaldarknes - Mega Man	2270	Azend_1
33	Salty - Steve	2270	Azend_1
33	Eon_II - Mega Man	2270	Azend_1
33	jozz - Mega Man	2270	Azend_1
33	Salty - Dr. Mario	2270	Azend_1
33	Salty - Luigi	2270	Azend_1
33	IGuano - Samus	2270	Azend_1
33	JA9K - Steve	2270	Azend_1
33	ditto - Robin	2270	Azend_1
33	IGuano - Ryu	2270	Azend_1
33	Carbon Show - Meta Knight	2270	Azend_1
33	Skyfletcher - Pyra & Mythra	2270	Azend_1
33	Gamer John - Little Mac	2270	Azend_1
33	fammy - Shulk	2270	Azend_1
33	fammy - Villager	2270	Azend_1
33	Staples - Pokemon Trainer	2270	Azend_1
33	BETA DUDE - Cloud	2270	Azend_1
33	BETA DUDE - Meta Knight	2270	Azend_1
33	fammy - Dr. Mario	2270	Azend_1
33	Gamer John - Ike	2270	Azend_1
33	Skyfletcher - Ike	2270	Azend_1
33	Staples - Mewtwo	2270	Azend_1
33	Nobody - Steve	2270	Azend_1
33	Nobody - Falco	2270	Azend_1
33	Gamer John - Robin	2270	Azend_1
33	Gamer John - Koopaling	2270	Azend_1
33	Salty - Meta Knight	2270	Azend_1
33	Eon_II - Shulk	2270	Azend_1
33	jozz - Falco	2270	Azend_1
33	IGuano - Pit	2270	Azend_1
33	Royaldarknes - Zelda	2270	Azend_1
33	jozz - Kirby	2270	Azend_1
33	ditto - Mewtwo	2270	Azend_1
33	Royaldarknes - Mewtwo	2270	Azend_1
33	Eon_II - Zelda	2270	Azend_1
33	ditto - Zelda	2270	Azend_1
33	gold_dxj - Palutena	2270	Azend_1
