Rank	Trainer	Tournament Length
1	joah - Mario	343
2	IGuano - Richter	343
3	Tau Heximus - Mr. Game & Watch	343
4	Scuttler - Diddy Kong	343
5	NetEasy - Mr. Game & Watch	343
6	IGuano - Diddy Kong	343
7	JA9K - Young Link	343
8	Salty - R.O.B.	343
9	HalfMario - Rosalina & Luma	343
10	Planetar - Mr. Game & Watch	343
11	IGuano - Pikachu	343
12	Eon_II - Simon	343
13	RAPJM - Inkling	343
14	fammy - Inkling	343
15	Cheese - Rosalina & Luma	343
16	ditto - Young Link	343
17	Eon_II - Greninja	343
18	RAPJM - Mr. Game & Watch	343
19	razorforce21 - Inkling	343
20	Eon_II - Toon Link	343
21	soysauce - Ken	343
22	Eon_II - Mario	343
23	Amalgamate - Young Link	343
24	JA9K - Bayonetta	343
25	Dabuffalo - Marth	343
26	Planetar - Sonic	343
27	NetEasy - Jigglypuff	343
28	ditto - Toon Link	343
29	Nightmare - Toon Link	343
30	gold_dxj - Pichu	343
31	HalfMario - Pikachu	343
32	ditto - R.O.B.	343
33	soysauce - R.O.B.	343
34	fammy - Ken	343
35	Dabuffalo - Jigglypuff	343
36	NetEasy - Lucina	343
37	Cheese - Lucina	343
38	Scuttler - Sonic	343
39	Amalgamate - Simon	343
40	ditto - Marth	343
41	gold_dxj - Sheik	343
42	Planetar - Rosalina & Luma	343
43	joah - Pichu	343
44	MassiveMan - Toon Link	343
45	Amalgamate - Greninja	343
46	Nightmare - Mario	343
47	EthanZombieK - Mario	343
48	RAPJM - Rosalina & Luma	343
49	Amalgamate - Toon Link	343
50	HalfMario - Jigglypuff	343
51	Nightmare - Greninja	343
52	EthanZombieK - Marth	343
53	SandSSF2 - Sonic	343
54	Noobinator - Mr. Game & Watch	343
55	joah - Pikachu	343
56	JA9K - Ken	343
57	Crunchy - Pikachu	343
58	SandSSF2 - Lucina	343
59	fammy - Jigglypuff	343
60	MTJgator - Pichu	343
61	Cheese - Fox	343
62	Carbon Show - Ken	343
63	Tau Heximus - Rosalina & Luma	343
64	Planetar - Pichu	343
65	soysauce - Bayonetta	343
66	MLL456 - Richter	343
67	RAPJM - Zero Suit Samus	343
68	SandSSF2 - Inkling	343
69	MTJgator - Lucina	343
70	Inacraft - Inkling	343
71	Mikayla - Mr. Game & Watch	343
72	MLL456 - Simon	343
73	Cheese - Greninja	343
74	Aphelion - Toon Link	343
75	gold_dxj - Toon Link	343
76	nottynottnot - Mr. Game & Watch	343
77	Nightmare - Diddy Kong	343
78	Mikayla - Simon	343
79	soysauce - Marth	343
80	NetEasy - R.O.B.	343
81	Mikayla - Sheik	343
82	Dabuffalo - Young Link	343
83	Ikeba - Sheik	343
84	Bubs - Mario	343
85	IGuano - Lucina	343
86	SandSSF2 - Sheik	343
87	jozz - Mario	343
88	Bubs - Diddy Kong	343
89	EthanZombieK - R.O.B.	343
90	Crunchy - Sonic	343
91	Bubs - Toon Link	343
92	Bubs - Fox	343
93	MTJgator - Ken	343
94	joah - Zero Suit Samus	343
95	Scuttler - Fox	343
96	gold_dxj - Fox	343
97	Dabuffalo - Pikachu	343
98	MTJgator - Zero Suit Samus	343
99	Sophia - R.O.B.	343
