Rank	Trainer	Tournament Length
1	fammy - Diddy Kong	339
2	HalfMario - Diddy Kong	339
3	Ikeba - Sonic	339
4	JA9K - Diddy Kong	339
5	ditto - Simon	339
6	MTJgator - Mario	339
7	Salty - Lucina	339
8	ditto - Inkling	339
9	Cheese - Toon Link	339
10	SandSSF2 - Richter	339
11	soysauce - Lucina	339
12	Cheese - Young Link	339
13	razorforce21 - Toon Link	339
14	Planetar - Diddy Kong	339
15	gold_dxj - R.O.B.	339
16	Crunchy - Toon Link	339
17	joah - Rosalina & Luma	339
18	jozz - Fox	339
19	IGuano - Greninja	339
20	soysauce - Mario	339
21	IGuano - Ken	339
22	Carbon Show - R.O.B.	339
23	Dabuffalo - Rosalina & Luma	339
24	soysauce - Sonic	339
25	Scuttler - Mario	339
26	JA9K - Toon Link	339
27	Royaldarknes - Pikachu	339
28	HalfMario - Young Link	339
29	Bubs - Pichu	339
30	Eon_II - Mr. Game & Watch	339
31	IGuano - Marth	339
32	fammy - Mr. Game & Watch	339
33	SandSSF2 - Ken	339
34	Amalgamate - Lucina	339
35	ditto - Mr. Game & Watch	339
36	SandSSF2 - Mario	339
37	Eon_II - Marth	339
38	SandSSF2 - Pikachu	339
39	ditto - Jigglypuff	339
40	Planetar - Ken	339
41	Eon_II - Jigglypuff	339
42	MassiveMan - Simon	339
43	RAPJM - Mario	339
44	Carbon Show - Inkling	339
45	RAPJM - Sheik	339
46	Dabuffalo - Simon	339
47	Nightmare - Sonic	339
48	Mikayla - Toon Link	339
49	Bubs - Greninja	339
50	Amalgamate - Mario	339
51	fammy - Sonic	339
52	Planetar - Greninja	339
53	soysauce - Fox	339
54	HalfMario - Inkling	339
55	Tau Heximus - Sheik	339
56	NetEasy - Fox	339
57	joah - Richter	339
58	Crunchy - Ken	339
59	Tau Heximus - Mario	339
60	Planetar - Marth	339
61	joah - Fox	339
62	gold_dxj - Pikachu	339
63	NetEasy - Toon Link	339
64	Nightmare - Lucina	339
65	RAPJM - Jigglypuff	339
66	Scuttler - Sheik	339
67	RAPJM - R.O.B.	339
68	JA9K - Zero Suit Samus	339
69	MTJgator - R.O.B.	339
70	Eon_II - Rosalina & Luma	339
71	Cheese - Inkling	339
72	EthanZombieK - Rosalina & Luma	339
73	Amalgamate - Ken	339
74	Bubs - Lucina	339
75	JA9K - Sonic	339
76	gold_dxj - Jigglypuff	339
77	Cheese - Bayonetta	339
78	Bubs - Young Link	339
79	MTJgator - Fox	339
80	Nightmare - Zero Suit Samus	339
81	MLL456 - Marth	339
82	EpicBidoof - Young Link	339
83	gold_dxj - Mr. Game & Watch	339
84	Noobinator - Pikachu	339
85	NetEasy - Inkling	339
86	Nightmare - Pichu	339
87	Sophia - Mr. Game & Watch	339
88	IGuano - Inkling	339
89	Mikayla - R.O.B.	339
90	Ikeba - Diddy Kong	339
91	Ikeba - Pichu	339
92	EthanZombieK - Pikachu	339
93	Sophia - Pikachu	339
94	Mikayla - Bayonetta	339
95	joah - Mr. Game & Watch	339
96	Dabuffalo - Pichu	339
97	Amalgamate - Zero Suit Samus	339
98	MTJgator - Richter	339
